------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-18 14:54:30 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/c32b3661d0869e05ea03afbb366efd7dca9a19bf/metadata".
2024-04-18 14:54:30 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 14:54:31 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 14:54:31 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.054396s.
2024-04-18 14:54:31 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 14:54:31 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 14:54:32 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.514315s.
2024-04-18 14:54:32 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/4932be1f1129cbdd0e493ebf3731711e92e8b880/load_bmat".
2024-04-18 14:54:32 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/4932be1f1129cbdd0e493ebf3731711e92e8b880/sanitize".
2024-04-18 14:54:32 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/4932be1f1129cbdd0e493ebf3731711e92e8b880/provenance".
2024-04-18 14:54:32 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/4932be1f1129cbdd0e493ebf3731711e92e8b880/metadata".
2024-04-18 14:54:33 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-18 14:54:33 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.285453s.
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.05776s.
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/8972d3870d9f51b106e6374d8cfe2f74db788a32/load_bmat".
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/8972d3870d9f51b106e6374d8cfe2f74db788a32/sanitize".
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/8972d3870d9f51b106e6374d8cfe2f74db788a32/metadata".
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.290783s.
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.018315s.
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.079336s.
2024-04-18 14:54:34 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/8972d3870d9f51b106e6374d8cfe2f74db788a32/provenance".
