------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/bccdcab3462c97a8ddff47f0724adc4156c34ac8/sanitize".
2024-04-17 14:46:51 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 5.62719s.
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.020529s.
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.045816s.
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.202101s.
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/9a5f9f5569203bc2246d6281c1fc7f546542b73b/load_bmat".
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/9a5f9f5569203bc2246d6281c1fc7f546542b73b/sanitize".
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/9a5f9f5569203bc2246d6281c1fc7f546542b73b/provenance".
2024-04-17 14:46:52 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/9a5f9f5569203bc2246d6281c1fc7f546542b73b/metadata".
2024-04-17 14:46:53 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 5.705176s.
2024-04-17 14:46:53 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 5.8587050000000005s.
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.014484s.
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.046772s.
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.194083s.
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 3.531481s.
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/c71ac5cf1a2ace22768151b053090e576d435d00/load_bmat".
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/c71ac5cf1a2ace22768151b053090e576d435d00/sanitize".
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/c71ac5cf1a2ace22768151b053090e576d435d00/provenance".
2024-04-17 14:46:54 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/c71ac5cf1a2ace22768151b053090e576d435d00/metadata".
2024-04-17 14:46:55 | INFO     | nipype.workflow  | [Node] Finished "load_bmat", elapsed time 5.38611s.
2024-04-17 14:46:55 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 14:46:55 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 14:46:55 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 14:46:55 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 14:46:55 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.007725s.
2024-04-17 14:46:55 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.136113s.
2024-04-17 14:46:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/7cdcebb74e157211a2995d6e4fdf81ff5b02939d/load_bmat".
2024-04-17 14:46:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/7cdcebb74e157211a2995d6e4fdf81ff5b02939d/sanitize".
