------------------------------------------------------------------
  Running MRIQC version 24.0.0
  ----------------------------------------------------------------
  * BIDS dataset path: /data/datasets/HBN.
  * Output folder: /data/derivatives/HBN/mriqc-24.0.0.
  * Analysis levels: ['participant'].
------------------------------------------------------------------

2024-04-17 19:11:37 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 19:11:37 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.054894s.
2024-04-17 19:11:38 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.45062s.
2024-04-17 19:11:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/d1e39c3c6cb76841d9efe2bdc134fed9916c31b8/load_bmat".
2024-04-17 19:11:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/d1e39c3c6cb76841d9efe2bdc134fed9916c31b8/sanitize".
2024-04-17 19:11:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/d1e39c3c6cb76841d9efe2bdc134fed9916c31b8/provenance".
2024-04-17 19:11:38 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/d1e39c3c6cb76841d9efe2bdc134fed9916c31b8/metadata".
2024-04-17 19:11:39 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 19:11:39 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 19:11:40 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 19:11:40 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 19:11:40 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.066632s.
2024-04-17 19:11:40 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.587715s.
2024-04-17 19:11:41 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/7f7cdfd3c5301d0c77fd5a13d751e332f2ebd67b/load_bmat".
2024-04-17 19:11:41 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/7f7cdfd3c5301d0c77fd5a13d751e332f2ebd67b/sanitize".
2024-04-17 19:11:41 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/7f7cdfd3c5301d0c77fd5a13d751e332f2ebd67b/metadata".
2024-04-17 19:11:42 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/7f7cdfd3c5301d0c77fd5a13d751e332f2ebd67b/provenance".
2024-04-17 19:11:42 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 19:11:42 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 19:11:42 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 19:11:42 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.070889s.
2024-04-17 19:11:42 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.234531s.
2024-04-17 19:11:43 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 19:11:43 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.551787s.
2024-04-17 19:11:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/12a1a789bf468dd02e0d64767fd74fe00a7c8d73/load_bmat".
2024-04-17 19:11:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/12a1a789bf468dd02e0d64767fd74fe00a7c8d73/sanitize".
2024-04-17 19:11:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/12a1a789bf468dd02e0d64767fd74fe00a7c8d73/provenance".
2024-04-17 19:11:44 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/12a1a789bf468dd02e0d64767fd74fe00a7c8d73/metadata".
2024-04-17 19:11:48 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 17.139243s.
2024-04-17 19:11:50 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 19:11:50 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 19:11:50 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 19:11:50 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 19:11:50 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.059065s.
2024-04-17 19:11:50 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.635793s.
2024-04-17 19:11:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/7b05a1e10f06326a1c41e2fd715ee55fc46c50d8/load_bmat".
2024-04-17 19:11:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/7b05a1e10f06326a1c41e2fd715ee55fc46c50d8/sanitize".
2024-04-17 19:11:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/7b05a1e10f06326a1c41e2fd715ee55fc46c50d8/provenance".
2024-04-17 19:11:51 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/7b05a1e10f06326a1c41e2fd715ee55fc46c50d8/metadata".
2024-04-17 19:11:52 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 19:11:52 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.061852s.
2024-04-17 19:11:53 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 19:11:53 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 19:11:53 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 0.252442s.
2024-04-17 19:11:53 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 19:11:54 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 16.503434s.
2024-04-17 19:11:54 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.790309s.
2024-04-17 19:11:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/0e51a2259c6140689b6d10d63edff944b576a7c0/load_bmat".
2024-04-17 19:11:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/0e51a2259c6140689b6d10d63edff944b576a7c0/sanitize".
2024-04-17 19:11:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/0e51a2259c6140689b6d10d63edff944b576a7c0/metadata".
2024-04-17 19:11:55 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/0e51a2259c6140689b6d10d63edff944b576a7c0/provenance".
2024-04-17 19:11:56 | INFO     | nipype.workflow  | [Node] Executing "metadata" <niworkflows.interfaces.bids.ReadSidecarJSON>
2024-04-17 19:11:56 | INFO     | nipype.workflow  | [Node] Finished "metadata", elapsed time 0.058611s.
2024-04-17 19:11:56 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
2024-04-17 19:11:56 | INFO     | nipype.workflow  | [Node] Executing "sanitize" <niworkflows.interfaces.header.SanitizeImage>
2024-04-17 19:11:56 | INFO     | nipype.workflow  | [Node] Executing "provenance" <mriqc.interfaces.reports.AddProvenance>
2024-04-17 19:11:56 | INFO     | nipype.workflow  | [Node] Finished "provenance", elapsed time 0.568616s.
2024-04-17 19:11:57 | INFO     | nipype.workflow  | [Node] Finished "sanitize", elapsed time 17.542548s.
2024-04-17 19:11:57 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.load_bmat" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/2c6e7f8dd37e32f6475564d69043101c95a7da98/load_bmat".
2024-04-17 19:11:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.sanitize" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/2c6e7f8dd37e32f6475564d69043101c95a7da98/sanitize".
2024-04-17 19:11:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.provenance" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/2c6e7f8dd37e32f6475564d69043101c95a7da98/provenance".
2024-04-17 19:11:58 | INFO     | nipype.workflow  | [Node] Setting-up "mriqc_wf.dwiMRIQC.ComputeIQMs.metadata" in "/home/oesteban/tmp/mriqc-hbn/mriqc-work/mriqc_wf/dwiMRIQC/ComputeIQMs/2c6e7f8dd37e32f6475564d69043101c95a7da98/metadata".
2024-04-17 19:11:58 | INFO     | nipype.workflow  | [Node] Executing "load_bmat" <mriqc.interfaces.diffusion.ReadDWIMetadata>
